playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Tammy Abraham,,2015-2016,17,10th,2,0,55,0,0,,0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,2,,
Tammy Abraham,7200000,2016-2017,18,17th,41,40,"3,414",23,3,0,40,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,1,45,,
Tammy Abraham,9000000,2017-2018,19,18th,31,15,"1,726",5,1,43,14,32.6,0.12,208,67.3,33.3,74.2,52.2,13,202,49,58,24,222,35,0,11,Matches,31,20,6,2,1,0,11,5,178,32.6,535,57.8,691,392,56.7,60,16,15,61,50.0
Tammy Abraham,13500000,2018-2019,20,6th,1,1,90,0,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Tammy Abraham,18000000,2018-2019,20,5th,37,37,"3,138",25,3,107,58,54.2,0.19,,,,,,19,,,,,,,,,Matches,,,,,,,,6,,,,,,,,,0,30,,
Tammy Abraham,36000000,2019-2020,21,4th,34,25,"2,215",15,3,88,35,39.8,0.17,288,69.7,48.1,72.9,73.6,10,259,82,72,31,306,18,1,8,Matches,47,33,6,10,4,3,14,10,429,30.3,740,58.3,1076,496,46.1,71,9,17,95,37.6
Che Adams,45000,2014-2015,18,5th,10,5,467,0,0,,3,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,2,,
Che Adams,315000,2015-2016,19,11th,36,29,"2,633",11,2,,37,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,60,,
Che Adams,1350000,2016-2017,20,1st,1,0,24,0,0,0,0,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,1,0,,
Che Adams,1800000,2016-2017,20,19th,40,28,"2,619",7,3,0,25,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,12,34,,
Che Adams,2250000,2017-2018,21,19th,30,16,"1,541",5,2,47,20,42.6,0.11,,,,,,24,,,,,,,,,Matches,,,,,,,,11,,,,,,,,,14,28,,
Che Adams,6300000,2018-2019,22,17th,46,43,"3,728",22,4,110,55,50.0,0.19,,,,,,32,,,,,,,,,Matches,,,,,,,,20,,,,,,,,,3,74,,
Che Adams,10800000,2019-2020,23,11th,1,1,90,1,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Che Adams,10800000,2019-2020,23,11th,30,12,"1,111",4,2,37,9,24.3,0.11,184,69.4,38.5,76.5,55.8,14,160,67,38,18,211,11,1,8,Matches,24,15,3,5,2,1,8,6,231,25.1,441,55.6,657,315,47.9,44,18,17,73,25.2
Sergio Agüero,18000000,2006-2007,18,7th,38,25,"2,484",6,2,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,
Sergio Agüero,25200000,2007-2008,19,4th,37,35,"2,933",20,6,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,
Sergio Agüero,32400000,2008-2009,20,4th,37,34,"2,863",17,9,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,,
Sergio Agüero,32400000,2009-2010,21,9th,31,24,"2,198",12,4,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,34,,
Sergio Agüero,36000000,2010-2011,22,7th,32,31,"2,662",20,3,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70,,
Sergio Agüero,45900000,2011-2012,23,1st,34,31,"2,575",23,9,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,,
Sergio Agüero,36000000,2012-2013,24,2nd,30,22,"1,941",12,2,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26,,
Sergio Agüero,40500000,2013-2014,25,1st,23,20,"1,528",17,6,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,,
Sergio Agüero,54000000,2014-2015,26,2nd,33,30,"2,531",26,8,,63,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,17,,
Sergio Agüero,54000000,2015-2016,27,4th,30,29,"2,360",24,2,,52,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,20,,
Sergio Agüero,58500000,2016-2017,28,3rd,31,25,"2,403",20,4,139,54,38.8,0.12,,,,,,18,,,,,,,,,Matches,,,,,,,,14,,,,,,,,,6,23,,
Sergio Agüero,72000000,2017-2018,29,1st,25,22,"1,963",21,6,92,38,41.3,0.18,530,81.9,42.9,86.2,78.0,16,521,69,57,77,544,15,3,20,Matches,74,57,7,10,9,1,8,5,262,26.7,930,60.8,1123,743,66.2,49,3,10,90,28.6
Sergio Agüero,58500000,2018-2019,30,1st,33,31,"2,459",21,8,118,41,34.7,0.16,665,84.7,60.0,87.3,74.2,14,612,112,61,75,668,18,3,17,Matches,73,51,6,17,12,2,17,14,462,26.6,1142,52.7,1389,892,64.2,66,2,22,129,44.0
