playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Aaron Connolly,"3,628,884",3600000,2020,19,15th,24,14,"1,258",3,1,38,13,34.2,0.08,126,77.3,9,4,,22,7,3,5,1,12,234,29.5,349,37.5,535,235,43.9,42,16,54,22.6
Aaron Mooy,"9,046,861",9000000,2018,26,16th,36,34,"3,067",4,3,29,6,20.7,0.1,1547,74.7,187,30,,69,51,0,7,6,81,558,26,2434,57.1,1634,1500,91.8,37,26,456,42.1
Aaron Mooy,"12,688,403",12600000,2019,27,20th,29,25,"2,330",3,1,39,13,33.3,0.05,1078,75.5,139,38,,76,45,2,3,2,66,610,27.9,1728,56.6,1298,1112,85.7,32,26,283,28.6
Aaron Mooy,"8,618,599",8550000,2020,28,15th,32,26,"2,085",2,2,33,8,24.2,0.06,825,76.7,114,19,,70,51,3,7,4,43,421,29.7,1359,72.5,1104,927,84,30,13,189,33.3
Abdoul Kader Bamba,"1,612,837",1600000,2020,25,13th,27,16,"1,468",1,3,19,9,47.4,0,571,79.2,55,14,25,71,42,6,6,2,28,306,27.8,960,56.1,882,704,79.8,40,20,129,33.3
Adam Idah,"1,360,831",1350000,2020,18,20th,12,1,228,0,0,6,2,33.3,0,37,77.1,0,1,,1,1,0,0,0,4,36,25,88,0,113,61,54,11,2,12,30.8
Adam Lallana,"22,617,152",22500000,2018,29,4th,12,1,308,0,0,11,0,0,0,189,85.1,8,5,,16,15,0,1,1,1,47,29.8,274,70,246,221,89.8,12,4,31,0
Adam Lallana,"13,594,718",13500000,2019,30,2nd,13,5,468,0,0,5,2,40,0,253,83.2,8,7,,20,15,1,2,1,16,140,37.9,378,69.2,352,282,80.1,9,4,39,44.4
Adam Lallana,"8,618,599",8550000,2020,31,1st,15,3,382,1,1,5,1,20,0.2,229,84.8,3,4,,9,7,1,1,1,20,132,31.1,333,33.3,273,236,86.4,5,7,51,38.9
Adam Ounas,"4,512,150",4500000,2017,19,6th,26,11,"1,224",3,2,25,14,56,1,,,57,,,,,,,,,,,,,,,,,10,,
Adam Ounas,"6,785,146",6750000,2018,20,2nd,7,0,96,0,0,5,1,20,0,42,76.4,7,2,2,9,5,2,2,0,4,31,22.6,79,62.5,79,67,84.8,3,0,3,100
Adam Ounas,"6,797,359",6750000,2019,21,2nd,18,6,538,3,0,20,8,40,0,232,79.7,19,12,11,37,27,2,2,0,6,161,21.7,380,54.3,360,311,86.4,15,4,37,40
Adam Ounas,"7,257,768",7200000,2020,22,6th,16,14,"1,123",2,4,21,9,42.9,0,374,75.7,53,6,23,45,31,6,5,4,9,198,22.2,659,57.4,612,496,81,23,7,71,13.3
Adama Traoré,"7,219,440",7200000,2017,20,19th,27,16,"1,541",0,1,11,2,18.2,0,,,79,,,,,,,,,,,,,,,,,20,,
Adama Traoré,"16,284,349",16200000,2018,21,5th,34,26,"2,246",5,10,48,15,31.3,0.1,,,155,,,,,,,,,,,,,,,,,40,,
Adama Traoré,"18,093,722",18000000,2018,22,2nd,3,2,189,3,0,7,4,57.1,0,63,82.9,2,3,1,6,5,0,0,0,2,21,33.3,113,60,92,80,87,6,1,14,0
Adama Traoré,"13,594,718",13500000,2019,22,7th,29,8,902,1,1,19,7,36.8,0.05,240,71.9,37,5,,40,26,9,2,1,16,150,23.3,524,75,560,371,66.3,41,15,66,50
Adama Traoré,"31,752,734",31500000,2020,23,7th,37,27,"2,605",4,9,43,12,27.9,0.09,621,65.9,182,20,,96,66,18,14,11,41,404,26.7,1400,73.9,1394,1045,75,82,39,171,48.5
Ademola Lookman,"15,407,347",15300000,2019,20,8th,21,3,618,0,2,25,1.75,0,0,221,81,16,9,,24,16,6,4,3,15,138,29,391,67.5,360,279,77.5,17,8,54,30
Ademola Lookman,"12,247,483",12150000,2020,21,3rd,11,1,309,0,0,10,2.91,0,0,116,76.3,14,1,,13,10,1,0,0,8,68,27.9,211,43.8,178,147,82.6,13,8,34,25
Admir Mehmedi,"3,158,505",3150000,2017,25,12th,22,16,"1,258",3,1,43.8,1.14,0.19,0,,,13,,,,,,,,,,,,,,,,,28,,
Admir Mehmedi,"9,063,145",9000000,2019,27,6th,26,20,"1,692",6,5,37.1,1.86,0.17,0,563,71.5,76,14,,62,40,0,9,5,50,429,25.9,1017,45.5,937,666,71.1,22,29,129,32.1
Admir Mehmedi,"7,257,768",7200000,2020,28,7th,21,14,"1,200",2,2,39.1,1.72,0.09,0,412,71.8,42,14,,32,25,0,7,6,14,325,27.7,711,53.8,731,514,70.3,26,25,97,41.8
Adnan Januzaj,"13,570,291",13500000,2018,22,12th,28,18,"1,566",3,5,58,13,22.4,0,419,74.8,59,7,28,83,48,16,12,8,16,325,24.9,882,56.8,860,677,78.7,58,26,76,22.2
Adnan Januzaj,"10,875,774",10800000,2019,23,9th,20,13,"1,254",1,3,33,7,21.2,0,367,66.4,118,6,29,59,29,6,7,5,13,198,25.8,821,57.5,792,605,76.4,61,16,72,7.1
Adnan Januzaj,"8,618,599",8550000,2020,24,6th,24,13,"1,167",3,3,25,8,32,0,323,65.1,66,15,36,54,27,6,6,3,9,174,24.7,703,52.3,678,545,80.4,43,25,59,35
Adrien Hunou,"1,250,000",1250000,2016,21,7th,33,31,"2,806",7,6,27,6,22.2,0,,,11,,,,,,,,,,,,,,,,,10,,
Adrien Hunou,"2,005,400",2000000,2017,22,9th,22,11,"1,139",1,0,29,14,48.3,0,234,77.5,5,9,12,22,14,2,3,2,14,307,23.5,453,38.5,568,317,55.8,31,13,57,28
Adrien Hunou,"3,518,224",3500000,2018,23,5th,24,17,"1,456",5,0,29,14,48.3,1,247,77.9,9,7,17,30,23,2,4,3,23,322,29.5,509,66.7,597,361,60.5,35,18,70,32.4
Ahmed Kutucu,"5,437,887",5400000,2019,18,14th,13,3,425,2,0,63.6,2.33,0.18,0,67,66.3,7,0,,10,6,1,0,0,5,129,20.2,157,86.7,178,97,54.5,9,10,39,26.3
Ahmed Kutucu,"4,898,993",4860000,2020,19,12th,25,3,679,3,2,33.3,1.99,0.2,0,126,71.2,6,4,,18,11,3,4,4,13,139,33.1,286,63.6,327,201,61.5,24,11,42,34.4
Akaki Gogia,"904,686",900000,2018,25,8th,22,17,"1,469",2,3,28.6,2.57,0.05,0,,,12,,,,,,,,,,,,,,,,,24,,
Akaki Gogia,"1,137,928",1130000,2019,26,3rd,28,14,"1,389",6,2,29.8,3.05,0.13,0,,,41,,,,,,,,,,,,,,,,,31,,
Akaki Gogia,"907,221",900000,2020,27,11th,3,1,121,0,0,0,0.74,0,0,28,65.1,2,1,,5,4,1,0,0,2,26,26.9,67,66.7,71,45,63.4,5,2,7,80
Alberto Cerri,"6,785,146",6750000,2018,21,8th,33,27,"2,385",15,9,,0,,2,,,0,,,,,,,,,,,,,,,,,,,
Alberto Cerri,"5,437,887",5400000,2019,22,15th,15,7,670,0,0,14.3,2.82,0,0,135,62.5,5,14,,15,11,0,0,0,7,94,22.3,315,55.6,403,245,60.8,23,23,37,45.6
Alberto Paloschi,"3,158,505",3150000,2017,26,4th,13,4,442,0,0,44.4,1.83,0,0,,,0,,,,,,,,,,,,,,,,,10,,
Alberto Paloschi,"2,714,058",2700000,2018,27,17th,36,25,"2,184",7,0,42.9,1.15,0.25,0,292,71.7,9,12,,35,26,5,5,3,11,358,19,594,72,778,404,51.9,51,38,94,28.4
Alberto Paloschi,"1,812,629",1800000,2019,28,13th,23,8,863,2,0,40,1.04,0.2,0,122,75.3,3,5,,10,10,0,1,1,13,217,22.6,253,20,371,179,48.2,32,17,29,26.1
Álex Alegría,"1,804,860",1800000,2017,23,15th,25,15,"1,440",3,2,45,21,46.7,0,,,4,,,,,,,,,,,,,,,,,41,,
Álex Alegría,"723,749",720000,2018,24,15th,9,8,625,0,1,14,2,14.3,0,110,71.4,2,2,5,10,6,0,2,1,5,193,16.6,256,33.3,317,183,57.7,31,9,14,48.5
Alex Iwobi,"9,024,300",9000000,2017,20,5th,26,18,"1,456",3,4,39,11,28.2,0.08,,,19,,,,,,,,,,,,,,,,,7,,
Alex Iwobi,"13,570,291",13500000,2018,21,6th,26,22,"1,830",3,5,45,22,48.9,0.07,987,85.7,20,29,,76,67,5,12,11,20,253,30.8,1365,60.4,1246,1110,89.1,43,11,145,23.1
Alex Iwobi,"29,002,064",28800000,2019,22,5th,35,22,"1,970",3,6,35,14,40,0.09,774,75.1,58,43,,84,77,4,12,12,23,418,26.3,1302,57,1357,1073,79.1,60,8,126,16.7
Alex Iwobi,"23,134,135",22950000,2020,23,12th,25,19,"1,596",1,0,23,9,39.1,0.04,462,75.2,48,14,,44,41,2,2,2,27,369,26,787,67.5,698,544,77.9,29,12,145,31.8
Alex Oxlade-Chamberlain,"27,072,900",27000000,2017,22,5th,29,16,"1,628",2,7,28,8,28.6,0.07,,,68,,,,,,,,,,,,,,,,,30,,
Alex Oxlade-Chamberlain,"36,187,443",36000000,2018,23,4th,35,17,"1,734",3,7,48,17,38.5,0.08,779,76.4,85,20,,79,60,6,14,11,29,427,31.9,1209,64.2,941,804,84.4,44,15,189,32.3
Alex Oxlade-Chamberlain,"31,721,008",31500000,2019,24,2nd,4,2,106,0,0,1,1,100,0,12,85.7,0,0,,3,2,1,0,0,1,3,0,19,100,19,16,84.2,2,0,1,
Alex Oxlade-Chamberlain,"25,402,188",25200000,2020,25,1st,30,17,"1,485",4,1,40,10,25,0.1,592,79.1,45,17,,41,31,3,4,1,23,374,29.7,965,63.6,884,731,82.7,33,17,133,33.3
Alexander Esswein,"2,256,075",2250000,2017,26,6th,29,15,"1,322",2,2,37,1.84,0.07,0,,,38,,,,,,,,,,,,,,,,,21,,
Alexander Esswein,"904,686",900000,2018,27,10th,16,6,617,2,1,60,1.46,0.2,0,163,71.5,15,10,,11,9,0,3,2,19,221,22.6,307,25,305,211,69.2,15,15,45,42.9
Alexander Esswein,"906,315",900000,2019,28,16th,17,15,"1,251",0,0,29.6,1.94,0,0,308,68.4,60,10,,42,30,4,4,3,23,301,29.9,624,60,681,449,65.9,32,18,73,34.4
Alexander Isak,"2,714,058",2700000,2018,17,4th,5,1,119,0,0,44,22,50,0,222,73,9,11,19,32,23,4,4,1,9,259,28.6,497,57.1,728,372,51.1,40,22,50,32.8
Alexandre Lacazette,"58,804,595",58500000,2018,26,6th,32,26,"2,202",14,4,67,32,47.8,0.18,531,75.4,15,20,,87,56,10,11,6,25,423,31.4,990,63.8,1157,743,64.2,54,28,106,30
Alexandre Lacazette,"63,442,016",63000000,2019,27,5th,35,27,"2,502",13,8,81,28,34.6,0.16,579,72.6,30,23,,81,53,16,17,11,35,545,24.8,1168,72.2,1435,893,62.2,68,51,104,29
Alexandre Lacazette,"43,546,607",43200000,2020,28,8th,30,22,"1,874",10,4,53,26,49.1,0.19,387,77.6,15,10,,58,36,5,13,5,23,464,24.6,786,54.3,906,555,61.3,60,43,102,25.6
Alexandre Mendy,"1,253,375",1250000,2017,22,10th,22,5,814,3,0,34,13,38.2,0,,,9,,,,,,,,,,,,,,,,,9,,
Alexandre Mendy,"2,513,017",2500000,2018,23,6th,16,8,799,4,0,31,9,29,0,117,72.7,2,3,4,13,9,2,2,0,5,127,17.3,254,72.7,375,189,50.4,24,15,31,32.3
Alexandre Mendy,"2,265,786",2250000,2019,24,20th,16,8,767,3,0,23,7,30.4,0,93,75,3,6,8,13,9,0,0,0,4,150,24.7,220,37.5,368,152,41.3,27,14,29,34.9
Alexandre Mendy,"1,814,442",1800000,2020,25,14th,20,9,899,3,1,29,9,31,0,118,73.3,3,5,3,17,10,3,3,2,4,134,20.1,266,72.7,412,181,43.9,26,22,50,45.6
Alexis Claude-Maurice,"150,405",150000,2017,18,18th,0,0,,,,0,6,,0,,,0,,,,,,,,,,,,,,,,,12,,
Alexis Claude-Maurice,"9,063,145",9000000,2019,20,6th,35,35,"3,090",14,3,2,1,50,1,,,1,,,,,,,,,,,,,,,,,1,,
Alexis Claude-Maurice,"8,064,187",8000000,2020,21,1st,2,1,104,1,1,38,11,28.9,0,504,84,28,10,8,54,32,11,5,4,30,350,24.9,882,65.3,804,668,83.1,57,13,96,52.6
Alexis Mac Allister,"3,618,744",3600000,2018,18,12th,24,15,"1,316",2,6,45,9,20,0.04,,,38,,,,,,,,,,,,,,,,,20,,
Alexis Mac Allister,"9,063,145",9000000,2019,19,26th,19,16,"1,541",5,1,63,16,25.4,0.06,,,102,,,,,,,,,,,,,,,,,22,,
Alexis Mac Allister,"9,979,431",9900000,2020,20,15th,22,13,1060,1,1,31,13,50,0,84,64.6,71,2,,11,4,2,0,0,9,105,23.8,183,50,120,94,78.3,7,12,31,50
Alexis Sánchez,"58,657,950",58500000,2017,27,5th,38,36,"3,217",24,10,38,3.61,0.17,2,,,65,,,,,,,,,,,,,,,,,48,,
Alexis Sánchez,"63,328,025",63000000,2018,28,2nd,31,29,"2,546",9,6,27.3,1.9,0.09,1,1080,71.6,94,70,,159,104,17,22,12,35,487,24.4,1966,71.9,1859,1550,83.9,79,32,181,7.7
Alexis Sánchez,"22,657,863",22500000,2019,29,6th,20,9,880,1,3,50,1.84,0.06,0,292,71.4,23,16,,39,30,3,5,3,14,208,27.9,525,71.4,546,416,76.2,19,15,61,25
Alexis Sánchez,"18,144,420",18000000,2020,30,2nd,22,10,923,4,8,52.4,2.05,0.14,1,284,71.7,42,12,,64,42,3,13,10,9,208,30.3,526,77.1,559,398,71.2,25,19,57,20
Alfredo Donnarumma,"4,354,661",4320000,2020,28,19th,31,20,"1,684",7,2,34.2,2.03,0.13,2,307,69,7,24,,42,30,4,5,4,13,345,19.1,613,53.8,779,449,57.6,25,18,81,23.1
