playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Lionel Messi,153893651.9,162000000,2018,30,1,36,32,3002,34,12,194,92,47.4,2,1532,78.7,53,62,80,234,134,39,43,24,13,413,29.3,2447,71.9,2445,2051,83.9,62,17,150,38.5
Lionel Messi,92399722.54,100800000,2020,32,2,33,32,2880,25,20,154,63,40.9,5,1700,79.4,113,61,62,220,126,37,36,22,14,287,30.3,2615,67,2616,2229,85.2,65,20,127,60
Allan Saint-Maximin,20996186.95,22500000,2019,21,7,34,34,2900,5,3,73,17,23.3,0.05,718,74.1,81,21,,143,76,35,11,6,11,321,22.1,1466,64.1,1624,1181,72.7,117,12,176,44.4
Lionel Messi,125977121.7,135000000,2019,31,1,34,29,2713,36,13,167,85,50.9,4,1524,78.6,78,66,63,220,130,35,36,20,15,324,28.1,2395,61.3,2437,2046,84,51,22,131,30
Sofiane Boufal,8398474.781,9000000,2019,24,17,35,25,2085,3,3,50,17,34,0.06,674,76.2,60,21,,110,54,29,13,7,33,469,24.3,1303,66.1,1184,975,82.3,66,42,165,53.6
Jeremie Boga,10078169.74,10800000,2019,21,11,25,14,1443,3,1,35.1,2.04,0.19,0,840,85.2,24,21,,92,51,28,13,4,23,409,33.5,1381,63.3,1437,1147,79.8,56,15,136,29.4
Wilfried Zaha,46191611.3,49500000,2019,25,12,34,34,3036,10,5,79,30,38,0.13,839,76.7,37,44,,141,87,28,20,10,43,748,24.2,1723,58.1,1919,1339,69.8,104,45,228,13.9
Eden Hazard,100781697.4,108000000,2019,27,3,37,32,2923,16,15,90,39,43.3,4,1595,79.8,145,48,70,207,134,27,35,19,8,407,25.1,2461,65.7,2579,2082,80.7,85,12,173,41.2
Florian Thauvin,42748236.64,45000000,2018,24,4,35,35,2949,22,11,128,48,37.5,3,1311,72.2,211,55,88,163,104,26,27,15,34,339,27.7,2320,63.3,2057,1807,87.8,85,27,207,20
José Luis Morales,8398474.781,9000000,2019,31,15,37,35,3195,12,5,61,27,44.3,3,548,67.8,71,22,64,114,66,25,19,7,19,625,20.5,1264,55.1,1444,916,63.4,84,31,195,27.3
Josip Iličić,14277407.13,15300000,2019,30,3,31,23,2145,12,7,36,4.2,0.12,0,998,77.1,67,47,,158,109,25,24,17,17,282,23.8,1708,63.9,1792,1446,80.7,59,22,122,12.5
