idx,min,gls,ast,sh,shgls,cmpp,sca,press,pressp,touches,targ
1,29,1,0,2.1,0.476190476,,,,,,
2,90,1,0,2.1,0.476190476,,,,,,
3,76,0,0,1,0,,,,,,
4,90,1,0,2.1,0.476190476,,,,,,
5,45,0,0,0,0,,,,,,
6,90,0,0,2.1,0,,,,,,
7,29,1,0,2,0.5,,,,,,
8,90,0,0,2.1,0,,,,,,
9,90,1,0,4,0.25,,,,,,
10,90,0,0,3,0,,,,,,
11,90,1,0,2.1,0.476190476,,,,,,
12,90,0,0,2,0,,,,,,
13,90,2,1,4,0.5,,,,,,
14,90,0,0,2.1,0,,,,,,
15,90,0,0,3,0,,,,,,
16,77,0,0,2.1,0,,,,,,
17,70,0,0,2,0,,,,,,
18,90,2,0,2.1,0.952380952,,,,,,
19,68,0,0,2,0,,,,,,
20,20,0,0,2.1,0,,,,,,
21,90,0,0,2.1,0,,,,,,
22,90,1,0,2,0.5,,,,,,
23,59,0,0,2.1,0,,,,,,
24,90,0,1,4,0,,,,,,
25,62,0,0,0,0,,,,,,
26,19,0,0,2.1,0,,,,,,
27,57,0,0,1,0,,,,,,
28,90,0,0,4,0,,,,,,
29,75,0,0,1,0,,,,,,
30,90,0,0,2.1,0,,,,,,
31,42,0,0,2.1,0,,,,,,
32,120,2,0,2.1,0.952380952,,,,,,
33,90,0,0,2.1,0,,,,,,
34,120,1,0,2.1,0.476190476,,,,,,
35,45,0,0,0,0,,,,,,
36,90,3,0,5,0.6,,,,,,
37,74,0,0,3,0,,,,,,
38,90,0,0,2.1,0,,,,,,
39,90,0,0,3,0,,,,,,
40,90,2,0,3,0.666666667,,,,,,
41,90,0,0,1,0,,,,,,
42,77,0,0,2.1,0,,,,,,
43,45,0,0,0,0,,,,,,
44,60,0,1,2.1,0,,,,,,
45,63,0,0,2.1,0,,,,,,
46,90,1,0,2,0.5,,,,,,
47,90,0,0,1,0,,,,,,
48,54,0,0,0,0,,,,,,
49,90,0,0,4,0,,,,,,
50,90,0,0,3,0,,,,,,
51,60,0,0,1,0,,,,,,
52,90,0,0,2,0,,,,,,
53,45,0,0,2.1,0,,,,,,
54,90,1,0,2.1,0.476190476,,,,,,
