index,min,gls,agls,assist,sh,ash,shgls,ashgls,cmpp,sca,press,pressp,touches,targ,,
1,29,1,1,0,2.1,2.1,0.476190476,0.476190476,,,,,,,,
2,90,1,2,0,2.1,4.2,0.476190476,0.476190476,,,,,,,,
3,76,0,2,0,1,5.2,0,0.384615385,,,,,,,,
4,90,1,3,0,2.1,7.3,0.476190476,0.410958904,,,,,,,,
5,45,0,3,0,0,7.3,0,0.410958904,,,,,,,,
6,90,0,3,0,2.1,9.4,0,0.319148936,,,,,,,,
7,29,1,4,0,2,11.4,0.5,0.350877193,,,,,,,,
8,90,0,4,0,2.1,13.5,0,0.296296296,,,,,,,,
9,90,1,5,0,4,17.5,0.25,0.285714286,,,,,,,,
10,90,0,5,0,3,20.5,0,0.243902439,,,,,,,,
11,90,1,6,0,2.1,22.6,0.476190476,0.265486726,,,,,,,,
12,90,0,6,0,2,24.6,0,0.243902439,,,,,,,,
13,90,2,8,1,4,28.6,0.5,0.27972028,,,,,,,,
14,90,0,8,0,2.1,30.7,0,0.260586319,,,,,,,,
15,90,0,8,0,3,33.7,0,0.237388724,,,,,,,,
16,77,0,8,0,2.1,35.8,0,0.223463687,,,,,,,,
17,70,0,8,0,2,37.8,0,0.211640212,,,,,,,,
18,90,2,10,0,2.1,39.9,0.952380952,0.250626566,,,,,,,,
19,68,0,10,0,2,41.9,0,0.238663484,,,,,,,,
20,20,0,10,0,2.1,44,0,0.227272727,,,,,,,,
21,90,0,10,0,2.1,46.1,0,0.21691974,,,,,,,,
22,90,1,11,0,2,48.1,0.5,0.228690229,,,,,,,,
23,59,0,11,0,2.1,50.2,0,0.219123506,,,,,,,,
24,90,0,11,1,4,54.2,0,0.20295203,,,,,,,,
25,62,0,11,0,0,54.2,0,0.20295203,,,,,,,,
26,19,0,11,0,2.1,56.3,0,0.195381883,,,,,,,,
27,57,0,11,0,1,57.3,0,0.191972077,,,,,,,,
28,90,0,11,0,4,61.3,0,0.179445351,,,,,,,,
29,75,0,11,0,1,62.3,0,0.176565008,,,,,,,,
30,90,0,11,0,2.1,64.4,0,0.170807453,,,,,,,,
31,42,0,11,0,2.1,66.5,0,0.165413534,,,,,,,,
32,120,2,13,0,2.1,68.6,0.952380952,0.189504373,,,,,,,,
33,90,0,13,0,2.1,70.7,0,0.18387553,,,,,,,,
34,120,1,14,0,2.1,72.8,0.476190476,0.192307692,,,,,,,,
35,45,0,14,0,0,72.8,0,0.192307692,,,,,,,,
36,90,3,17,0,5,77.8,0.6,0.218508997,,,,,,,,
37,74,0,17,0,3,80.8,0,0.21039604,,,,,,,,
38,90,0,17,0,2.1,82.9,0,0.205066345,,,,,,,,
39,90,0,17,0,3,85.9,0,0.19790454,,,,,,,,
40,90,2,19,0,3,88.9,0.666666667,0.213723285,,,,,,,,
41,90,0,19,0,1,89.9,0,0.21134594,,,,,,,,
42,77,0,19,0,2.1,92,0,0.206521739,,,,,,,,
43,45,0,19,0,0,92,0,0.206521739,,,,,,,,
44,60,0,19,1,2.1,94.1,0,0.201912859,,,,,,,,
45,63,0,19,0,2.1,96.2,0,0.197505198,,,,,,,,
46,90,1,20,0,2,98.2,0.5,0.203665988,,,,,,,,
47,90,0,20,0,1,99.2,0,0.201612903,,,,,,,,
48,54,0,20,0,0,99.2,0,0.201612903,,,,,,,,
49,90,0,20,0,4,103.2,0,0.19379845,,,,,,,,
50,90,0,20,0,3,106.2,0,0.188323917,,,,,,,,
51,60,0,20,0,1,107.2,0,0.186567164,,,,,,,,
52,90,0,20,0,2,109.2,0,0.183150183,,,,,,,,
53,45,0,20,0,2.1,111.3,0,0.179694519,,,,,,,,
54,90,1,21,0,2.1,113.4,0.476190476,0.185185185,,,,,,,,
55,64,0,21,0,2,115.4,0,0.181975737,,,,,,,,
56,45,0,21,0,0,115.4,0,0.181975737,,,,,,,,
57,90,3,24,0,1.54,116.94,1.948051948,0.205233453,,,,,,,,
58,62,0,24,0,2,118.94,0,0.201782411,,,,,,,,
59,68,2,26,0,5,123.94,0.4,0.209778925,,,,,,,,
60,79,1,27,0,5,128.94,0.2,0.209399721,,,,,,,,
61,24,0,27,0,1.54,130.48,0,0.206928265,,,,,,,,
62,77,0,27,0,2,132.48,0,0.203804348,,,,,,,,
63,32,0,27,0,0,132.48,0,0.203804348,,,,,,,,
64,15,0,27,0,0,132.48,0,0.203804348,,,,,,,,
65,28,0,27,0,1.54,134.02,0,0.201462468,,,,,,,,
66,90,2,29,0,1.54,135.56,1.298701299,0.213927412,,,,,,,,
67,85,0,29,1,3,138.56,0,0.209295612,,,,,,,,
68,80,0,29,1,4,142.56,0,0.20342312,,,,,,,,
69,75,0,29,0,4,146.56,0,0.197871179,,,,,,,,
70,25,0,29,0,0,146.56,0,0.197871179,,,,,,,,
71,90,0,29,1,3,149.56,0,0.193902113,,,,,,,,
72,21,0,29,0,2,151.56,0,0.191343362,,,,,,,,
73,52.4,0,29,0,0,151.56,0,0.191343362,,,,,,,,
74,11,0,29,0,0,151.56,0,0.191343362,,,,,,,,
75,22,1,30,0,1,152.56,1,0.196643943,,,,,,,,
76,21,0,30,0,1,153.56,0,0.195363376,,,,,,,,
77,90,0,30,0,1.54,155.1,0,0.193423598,,,,,,,,
78,8,0,30,0,0,155.1,0,0.193423598,,,,,,,,
79,2,0,30,0,0,155.1,0,0.193423598,,,,,,,,
80,82,1,31,1,1.54,156.64,0.649350649,0.197906027,,,,,,,,
81,90,0,31,0,2,158.64,0,0.195410993,,,,,,,,
82,23,0,31,0,1.54,160.18,0,0.193532276,,,,,,,,
83,70,0,31,0,2,162.18,0,0.191145641,,,,,,,,
84,18,0,31,0,1,163.18,0,0.189974262,,,,,,,,
85,72,0,31,0,0,163.18,0,0.189974262,,,,,,,,
86,68,0,31,0,1,164.18,0,0.188817152,,,,,,,,
87,66,0,31,0,1.54,165.72,0,0.187062515,,,,,,,,
88,75,0,31,0,1,166.72,0,0.185940499,,,,,,,,
89,20,0,31,0,1,167.72,0,0.184831863,,,,,,,,
90,8,0,31,0,0,167.72,0,0.184831863,,,,,,,,
91,76,0,31,0,2,169.72,0,0.182653783,,,,,,,,
92,90,1,32,0,2,171.72,0.5,0.186349872,,,,,,,,
93,66,0,32,0,3,174.72,0,0.183150183,,,,,,,,
94,1,0,32,0,0,174.72,0,0.183150183,,,,,,,,
95,52.4,0,32,0,2,176.72,0,0.181077411,,,,,,,,
96,5,0,32,0,0,176.72,0,0.181077411,,,,,,,,
97,65,1,33,0,5,181.72,0.2,0.181598063,,,,,,,,
98,65,1,34,0,1,182.72,1,0.186077058,,,,,,,,
99,45,0,34,0,0,182.72,0,0.186077058,,,,,,,,
100,60,0,34,0,1.54,184.26,0,0.184521871,,,,,,,,
101,89,0,34,0,1.54,185.8,0,0.182992465,,,,,,,,
102,90,0,34,0,2.7,188.5,0,0.180371353,,,,,,,,
103,90,2,36,1,3,191.5,0.666666667,0.187989556,,,,,,,,
104,45,0,36,0,2,193.5,0,0.186046512,,,,,,,,
105,90,0,36,0,7,200.5,0,0.179551122,,,,,,,,
106,90,2,38,0,4,204.5,0.5,0.185819071,,,,,,,,
107,90,1,39,0,7,211.5,0.142857143,0.184397163,,,,,,,,
108,90,0,39,1,4,215.5,0,0.180974478,,,,,,,,
109,87,1,40,1,2.7,218.2,0.37037037,0.183318057,,,,,,,,
110,90,0,40,0,2.7,220.9,0,0.181077411,,,,,,,,
111,18,0,40,0,1,221.9,0,0.180261379,,,,,,,,
112,90,0,40,0,1,222.9,0,0.179452669,,,,,,,,
113,62,0,40,0,1,223.9,0,0.178651184,,,,,,,,
114,90,0,40,0,2,225.9,0,0.1770695,,,,,,,,
115,73,0,40,0,0,225.9,0,0.1770695,,,,,,,,
116,89,0,40,0,0,225.9,0,0.1770695,,,,,,,,
117,90,0,40,0,2.7,228.6,0,0.174978128,,,,,,,,
118,18,0,40,0,0,228.6,0,0.174978128,,,,,,,,
119,65,0,40,0,0,228.6,0,0.174978128,,,,,,,,
120,65,0,40,0,1,229.6,0,0.174216028,,,,,,,,
121,72,1,41,1,3,232.6,0.333333333,0.176268272,,,,,,,,
122,61,0,41,0,4,236.6,0,0.17328825,,,,,,,,
123,57,0,41,0,3,239.6,0,0.171118531,,,,,,,,
124,16,0,41,0,0,239.6,0,0.171118531,,,,,,,,
125,17,0,41,0,2,241.6,0,0.169701987,,,,,,,,
126,16,1,42,0,1,242.6,1,0.173124485,,,,,,,,
127,90,0,42,0,5,247.6,0,0.169628433,,,,,,,,
128,67.2,0,42,0,0,247.6,0,0.169628433,,,,,,,,
129,90,1,43,0,2.7,250.3,0.37037037,0.171793847,,,,,,,,
130,67.2,0,43,0,0,250.3,0,0.171793847,,,,,,,,
131,45,1,44,0,1,251.3,1,0.175089534,,,,,,,,
132,90,2,46,0,2.7,254,0.740740741,0.181102362,,,,,,,,
133,73,0,46,0,1,255,0,0.180392157,,,,,,,,
134,81,0,46,0,3,258,0,0.178294574,,,,,,,,
135,82,0,46,0,2,260,0,0.176923077,,,,,,,,
136,22,0,46,0,0,260,0,0.176923077,,,,,,,,
137,90,0,46,0,2.7,262.7,0,0.175104682,,,,,,,,
138,32,0,46,0,1,263.7,0,0.174440652,,,,,,,,
139,4,0,46,0,0,263.7,0,0.174440652,,,,,,,,
140,90,3,49,1,2.7,266.4,1.111111111,0.183933934,,,,,,,,
